"DATE" "TIME_PERIOD" "OBS_VALUE" "IDBANK" "TITLE_FR" "LAST_UPDATE" "UNIT_MEASURE" "REF_AREA"
"1" 2018-01-01 "2018" 48236 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"2" 2017-01-01 "2017" 48302 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"3" 2016-01-01 "2016" 48089 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"4" 2015-01-01 "2015" 47929 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"5" 2014-01-01 "2014" 47713 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"6" 2013-01-01 "2013" 47491 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"7" 2012-01-01 "2012" 47245 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"8" 2011-01-01 "2011" NA "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"9" 2010-01-01 "2010" 47683 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"10" 2009-01-01 "2009" 47054 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"11" 2008-01-01 "2008" 47289 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
"12" 2007-01-01 "2007" 47855 "001724192" "Nombre de médecins - Spécialistes et généralistes - Île-de-France" "2020-04-03" "INDIVIDUS" "R11"
